"","face_PSC","body_PSC","person_PSC","subj","ROI","hemi"
"3706",3.6028,3.4932,4.3061,15,"Overlap_lat_occ","Right"
"3707",3.8472,2.1778,3.2125,15,"Overlap_lat_occ","Right"
"3708",3.5318,4.0881,4.9822,15,"Overlap_lat_occ","Right"
"3709",1.3824,1.9595,2.0931,15,"Overlap_lat_occ","Right"
"3710",0.70342,0.87975,0.95761,15,"Overlap_lat_occ","Right"
"3711",1.2047,0.86762,1.155,15,"Overlap_lat_occ","Right"
"3712",0.57858,0.34614,0.53151,15,"Overlap_lat_occ","Right"
"3713",1.697,1.9445,2.0838,15,"Overlap_lat_occ","Right"
"3714",2.348,1.9623,2.6249,15,"Overlap_lat_occ","Right"
"3715",2.3955,3.0546,3.6685,15,"Overlap_lat_occ","Right"
"3716",1.1774,1.6797,1.6954,15,"Overlap_lat_occ","Right"
